,ID,Items
1,1,CFTR
2,1,CLIC5
3,1,GLRA2
4,1,TTYH3
5,1,SLC12A2
6,1,GABRA4
7,1,GLRB
8,1,CLCN2
9,1,TTYH2
10,1,GLRA3
11,1,GABRA6
12,1,GABRB2
13,1,CLIC6
14,1,GABRG1
15,1,GABRB1
16,1,GABRB3
17,1,BEST3
18,1,CLCNKA
19,1,GABRA5
20,1,CLCN1
21,1,ANO1
22,1,ANO2
23,1,CLCC1
24,1,CLIC2
25,1,GABRA3
26,1,GABRE
27,1,BEST4
28,1,CLIC4
29,1,CLCNKB
30,1,CLIC1
31,1,TTYH1
32,1,SLC26A6
33,1,GABRR2
34,1,RPA3OS
35,1,GABRA1
36,1,BEST1
37,1,ANO6
38,1,GABRG2
39,1,GLRA1
40,1,GABRR1
41,1,CLIC3
42,1,GABRA2
43,1,GABRP
44,1,TMEM206
45,1,BEST2
46,1,GABRQ
47,1,GABRG3
48,1,GABRR3
49,2,CYP51A1
50,2,PTGIS
51,2,C14orf1
52,2,MSMO1
53,2,CYP46A1
54,2,SC5D
55,2,SQLE
56,2,CYP39A1
57,2,SIGMAR1
58,2,IDI2
59,2,TM7SF2
60,2,GGPS1
61,2,HMGCR
62,2,HSD3B7
63,2,MVD
64,2,CYP8B1
65,2,FAXDC2
66,2,HMGCS1
67,2,AACS
68,2,SDR42E1
69,2,AGMO
70,2,DHCR7
71,2,FDPS
72,2,R3HDM4
73,2,PMVK
74,2,HMGCS2
75,2,NSDHL
76,2,DHCR24
77,2,CH25H
78,2,IDI1
79,2,HMGA1
80,2,EBP
81,2,MVK
82,2,SDR42E2
83,2,FDFT1
84,3,SLC7A2
85,3,SLC7A9
86,3,SLC1A6
87,3,SLC1A4
88,3,SLC36A1
89,3,SLC7A10
90,3,SLC38A2
91,3,SLC3A1
92,3,SLC7A5
93,3,SLC1A1
94,3,SLC1A3
95,3,SLC6A15
96,3,SLC1A2
97,3,SLC43A1
98,3,SLC7A11
99,3,SLC6A19
100,3,SLC7A8
101,3,SLC36A2
102,3,SLC6A20
103,3,SLC38A6
104,3,SLC16A10
105,3,SLC3A2
106,3,TMEM27
107,3,SLC7A1
108,3,SLC7A4
109,3,SLC7A7
110,3,SLC38A11
111,3,SLC1A5
112,3,SLC38A1
113,3,SLC38A7
114,3,SLC7A6
115,3,SLC43A2
116,3,SLC6A14
117,3,SLC38A5
118,3,SLC1A7
119,3,SLC38A3
120,4,USH1C
121,4,MYO15A
122,4,POU4F3
123,4,OCM
124,4,CHRNA10
125,4,OCM2
126,4,CIB2
127,4,SLC26A4
128,4,OTOF
129,4,TMPRSS3
130,4,CABP2
131,4,TMC1
132,4,LOXHD1
133,4,SLC26A5
134,4,LRTOMT
135,4,GIPC3
136,4,TMIE
137,4,ILDR1
138,4,TMC2
139,4,LHFPL5
140,4,DFNB31
141,4,TECTB
142,4,POU3F4
143,4,PCDH15
144,4,OTOA
145,4,TECTA
146,4,COCH
147,4,OTOG
148,4,GRXCR1
149,4,TRIOBP
150,4,MYO7A
151,4,DFNB59
152,4,TPRN
153,4,STRC
154,4,CLRN2
